Subset size;Accuracy;DP;EO
1;0.9866444073;0.05602756222;0.22
1;0.9649415693;0.02640264026;0.28
1;0.9616026711;0.02640264026;0.24
1;0.9565943239;0.003300330033;0.04
1;0.9549248748;0;0
2;0.9899833055;0.06262822228;0.3
2;0.9883138564;0.05932789225;0.26
2;0.9666110184;0.0297029703;0.32
2;0.9649415693;0.0198019802;0.24
2;0.9616026711;0.01320132013;0.16
2;0.959933222;0.009900990099;0.12
2;0.958263773;0.006600660066;0.08
2;0.9565943239;0.003066184997;0.38
3;0.9916527546;0.06592855231;0.34
3;0.9849749583;0.05272723218;0.18
3;0.9682804674;0.02640264026;0.32
3;0.9666110184;0.02310231023;0.28
3;0.9632721202;0.01642360182;0.24
3;0.9632721202;0.01650165017;0.2
3;0.9632721202;0.02954687361;0.18
3;0.9616026711;0.0129671751;0.26
3;0.9616026711;0.01312327179;0.2
3;0.959933222;0.009666845063;0.3
3;0.959933222;0.009822941754;0.16
3;0.958263773;0.00636651503;0.34
3;0.958263773;0.006522611721;0.12
3;0.9565943239;0.003222281688;0.08
4;0.9699499165;0.03630363036;0.4
4;0.9682804674;0.02624654357;0.14
4;0.9666110184;0.01634555347;0.22
4;0.9666110184;0.02294621354;0.18
4;0.9649415693;0.01304522344;0.26
4;0.9632721202;0.009666845063;0.26
4;0.9616026711;0.00636651503;0.3
4;0.9616026711;0.01304522344;0.24
4;0.959933222;0.009744893408;0.2
4;0.9565943239;0.003144233342;0.12
5;0.9933222037;0.06922888235;0.38
5;0.9833055092;0.04942690215;0.14
5;0.9632721202;0.01626750513;0.22
5;0.958263773;0.006444563375;0.16
6;0.9716193656;0.04620462046;0.48
6;0.9649415693;0.0129671751;0.22
6;0.959933222;0.003066184997;0.34
6;0.958263773;7.80E05;0.46
6;0.958263773;0.0001560966908;0.42
7;0.9716193656;0.0396039604;0.44
