Subset size;Accuracy;DP;EO
1;0.6262626263;0.1615208346;0.201244605
1;0.6231060606;0.1776518121;0.1730151561
1;0.5650252525;0.09188124384;0.09733514002
1;0.5359848485;0;0
2;0.6351010101;0.1705461416;0.2122352705
2;0.6294191919;0.1781141329;0.2121850848
2;0.6281565657;0.1719632555;0.1793134598
2;0.6256313131;0.1665360108;0.1939927733
2;0.5801767677;0.1305151862;0.1196426779
2;0.5505050505;0.08451426159;0.09347084212
2;0.5448232323;0.04860399204;0.05044725738
3;0.6439393939;0.3291422943;0.3856017264
3;0.6388888889;0.1601137711;0.1932901736
3;0.6332070707;0.1495708456;0.1853608351
3;0.6300505051;0.1715109851;0.1793134598
3;0.5656565657;0.04270437597;0.1363294188
4;0.6470959596;0.3390419908;0.3977968483
4;0.6458333333;0.3212526885;0.3837197631
4;0.6414141414;0.1767372208;0.1888738332
4;0.6338383838;0.1479527227;0.1812456088
4;0.5669191919;0.04774970351;0.1423767941
5;0.6502525253;0.3338057046;0.4040951521
5;0.6464646465;0.1734406722;0.1991869919
5;0.6401515152;0.1677521156;0.2117835993
5;0.6357323232;0.1554604113;0.1873933554
6;0.6433080808;0.1650284428;0.1849091639
