Subset size;Accuracy;DP;EO
1;0.7584396646;0;0
2;0.7585125775;0.0001626545218;0.0006644518272
4;0.7585125775;1.03E-05;0.0004343927322
5;0.7585125775;7.13E-05;0.0003230382501
6;0.7586584032;0.0001017799869;0.000211683768
6;0.7585854903;9.14E-05;0.0003230382501
7;0.7588771418;0.00157549401;0.003415238291
7;0.7587313161;0.0002539663242;0.0003740598437
7;0.7586584032;1.03E-05;0.0002300590951
7;0.7585854903;3.04E-05;0.000211683768
8;0.7589500547;0.001534846501;0.002973495428
8;0.7588042289;0.0002950007476;0.002561153089
8;0.7585125775;2.02E-05;0.0001187046129
9;0.7590229676;0.002998737197;0.005631302737
9;0.7588771418;0.0006605703858;0.001242266129
9;0.7588042289;0.0004776243524;0.0006311745632
9;0.7587313161;1.03E-05;0.0004564431247
9;0.7587313161;8.12E-05;0.0003193631847
10;0.7589500547;0.000884228414;0.001499380849
10;0.7588042289;0.0001424919816;0.002891541469
10;0.7588042289;0.0001523153088;0.001673992297
10;0.7587313161;5.07E-05;0.0003450886426
10;0.7586584032;1.00E-05;0.0001223796784
11;0.7588771418;0.001087594931;0.001145404002
11;0.7588042289;3.03E-05;0.001896701261
11;0.7588042289;0.0001119902284;0.00100954047
12;0.7590229676;0.0002844680774;0.0006311745632
12;0.7589500547;0.0002133188152;0.0002838920489
12;0.7588771418;8.12E-05;0.001562637815
