Subset size;Accuracy;DP;EO
1;0.5910294604;0.1049683102;0.1266725946
1;0.5834712568;0.03180829659;0.008034651328
1;0.5229504579;0;0
2;0.7830740373;0.5185920778;0.5038237629
2;0.7649233146;0.1085708612;0.1041511861
2;0.5937879289;0.1081878401;0.1259724244
2;0.5887123469;0.09991732136;0.1252471957
2;0.5678583251;0.02789910222;0.008253217608
2;0.5303431535;0.02133692239;0.04002568082
2;0.5267571444;0.01940122788;0.03682504821
2;0.5247710471;0.001918940837;0.0112204464
3;0.8013350988;0.1283084166;0.1020730344
3;0.7912942734;0.2028394188;0.06634055275
3;0.7883151274;0.1232045612;0.09548711507
3;0.7798742138;0.1795171984;0.04918747345
3;0.776177866;0.1716205568;0.04495361584
3;0.7703850822;0.1625785047;0.04472970267
3;0.7677921218;0.1556165622;0.03798448393
3;0.758578837;0.09406029338;0.1098439203
3;0.5800507558;0.02476391293;0.01980224108
3;0.5686306962;0.007838648982;0.04535637789
4;0.8213064107;0.314624136;0.1981502373
4;0.8086174556;0.1897564806;0.05293548173
4;0.7955423149;0.1172570926;0.106188317
4;0.7765088823;0.1603590935;0.03134580686
4;0.769005848;0.1597438831;0.04093798979
4;0.7600132406;0.09545939551;0.1114069355
4;0.6075251021;0.09146880703;0.09560031835
4;0.5851815072;0.05337194146;0.1057069243
4;0.570837471;0.006069188407;0.05005792315
4;0.5689065431;0.02547487257;0.01932249156
4;0.5623965574;0.005672299257;0.03959120866
4;0.5287432418;0.0189726699;0.03920262632
5;0.8240648792;0.3279597186;0.2088173131
5;0.8227408143;0.3257327951;0.2057279815
5;0.8218581044;0.3125999368;0.1951755574
5;0.8095553349;0.280824344;0.176071991
5;0.8058589871;0.1527076815;0.08033671316
5;0.8048107691;0.1563171604;0.07482402435
5;0.8033763654;0.1671701312;0.05853173055
5;0.8029350105;0.149337819;0.08203734452
5;0.8024936555;0.1388473169;0.08413521437
5;0.7973629041;0.1793678155;0.03294024456
5;0.7941630807;0.1147560347;0.1076558517
5;0.6114972967;0.1015658414;0.1031151031
5;0.585898709;0.05350724928;0.1055421956
5;0.5442458347;0.005468150398;0.03523959146
6;0.8245614035;0.3278483724;0.2096360457
6;0.8241200485;0.3220803362;0.2003899032
6;0.8176100629;0.3016245888;0.1801582728
6;0.8104380448;0.2777146383;0.1707339127
6;0.8101621979;0.285010047;0.1620953611
6;0.8074037294;0.1852806688;0.04608367078
6;0.8005627276;0.1325065753;0.09180146503
6;0.7967008717;0.1754881958;0.03645355921
6;0.7919011365;0.1258753474;0.09661251649
6;0.7868255545;0.1101829517;0.1079688186
6;0.7850601346;0.1242386256;0.08542035624
6;0.7708264372;0.1600120271;0.04097261354
6;0.5791128765;0.03092589185;0.01404231256
7;0.8248372504;0.3268762089;0.2074054607
7;0.7959285005;0.1719830255;0.03345987375
7;0.7949354518;0.1455156317;0.07456146786
7;0.7804259075;0.164623719;0.03054591303
8;0.798245614;0.1753673404;0.03286021661
8;0.7891978374;0.1109543877;0.1103142216
9;0.8130861746;0.2694979359;0.1345079087
9;0.8129206664;0.2604868829;0.1282710698
9;0.8098311817;0.2360615622;0.1002996484
