Subset size;Accuracy;DP;EO
8;0.9092948718;0.19781099;0.4328148024
7;0.908974359;0.1941489466;0.4352302613
9;0.9088141026;0.1930358575;0.4323391715
6;0.9088141026;0.1980829046;0.4303993434
6;0.9086538462;0.1941489466;0.4250927947
8;0.9083333333;0.1871222051;0.4183407009
6;0.9083333333;0.1962929635;0.4241228806
6;0.9081730769;0.1722842779;0.386958387
6;0.9078525641;0.1714431033;0.3729599164
5;0.9078525641;0.1764079892;0.3782664652
3;0.9076923077;0.178577437;0.3792363792
4;0.9075320513;0.1715252646;0.3681289986
6;0.9073717949;0.1638471019;0.3637923638
7;0.9072115385;0.1644985231;0.3613769049
5;0.9072115385;0.1669398854;0.3676533677
6;0.9070512821;0.1626264207;0.3599313599
3;0.9067307692;0.1696531622;0.3526849831
8;0.9064102564;0.1628729044;0.3492996102
8;0.90625;0.1634421644;0.3415776024
6;0.9060897436;0.1599698742;0.3439930614
8;0.9057692308;0.1611905554;0.3338555947
9;0.9056089744;0.1584772785;0.3222725831
5;0.9052884615;0.1572565974;0.3372409677
2;0.9048076923;0.1726070541;0.3811948595
4;0.9046474359;0.1557072713;0.3585044672
6;0.9043269231;0.1564662846;0.3469214556
4;0.9040064103;0.1515835599;0.336783989
3;0.9038461538;0.1595590681;0.3531979184
5;0.9033653846;0.1493573818;0.339693731
3;0.9033653846;0.1568457912;0.3565832914
4;0.9032051282;0.08910776815;0.1543095891
5;0.9028846154;0.08948727479;0.1528640442
5;0.902724359;0.09374987774;0.1441534702
3;0.9024038462;0.08319411569;0.1301736519
5;0.9019230769;0.08699505076;0.1161565292
5;0.9017628205;0.07923472681;0.1127898084
2;0.9014423077;0.09144153837;0.1403111186
3;0.9011217949;0.08954400516;0.12437282
6;0.9008012821;0.07141767249;0.1070262809
4;0.9006410256;0.06289833526;0.1051051051
6;0.8998397436;0.06317024981;0.09882864231
3;0.8996794872;0.07569983763;0.1316751534
6;0.8995192308;0.06325241104;0.09399772443
4;0.8993589744;0.05410708347;0.0800179061
4;0.8990384615;0.04859836851;0.07037472255
3;0.8990384615;0.05649758407;0.08241471285
1;0.8987179487;0.08473757311;0.1331020461
3;0.8979166667;0.0436080518;0.05154533415
2;0.8979166667;0.07328390618;0.1355548095
4;0.8977564103;0.0410590974;0.04429895734
2;0.8975961538;0.08471214226;0.1195792065
3;0.8963141026;0.02691758446;0.04193945498
2;0.8963141026;0.02897944013;0.04580045884
4;0.8961538462;0.03454488546;0.0361199709
1;0.8948717949;0.0507110859;0.08054949359
2;0.8934294872;0.02208572155;0.05114431201
3;0.8932692308;0.01364854555;0.02942383377
2;0.8931089744;0.004964885855;0.01688956037
4;0.8927884615;0.01034057787;0.007209072426
3;0.8926282051;0.002713276864;0.002891089848
3;0.8923076923;0.001030927835;0.003861003861
1;0.8921474359;0;0
