Subset size;Accuracy;DP;EO;;;;;;;;
1;0.6780027825;0.01122147909;0.03205805718;;;;#VALUE!;;;;-3
1;0.6750656979;0;0;;;;;;;;
2;0.6818673674;0.02089573209;0.03198465999;;;;;;;;
2;0.6793940331;0.01560448443;0.03812249991;;;;;;;;
2;0.6752202813;0.000968676322;0.004453374436;;;;;;;;
3;0.683258618;0.0005696963865;0.005886454549;;;;;;;;
3;0.6784665327;0.003033537025;0.005330547452;;;;;;;;
3;0.6755294481;0.001214839051;0.003669859444;;;;;;;;
3;0.6753748647;0.0005714285714;0.001706484642;;;;;;;;
3;0.6752202813;0.0008060434009;0.0008591065292;;;;;;;;
4;0.684031535;0.001899533272;0.009299423832;;;;;;;;
4;0.6838769516;0.002283982101;0.002178102601;;;;;;;;
4;0.6810944505;0.0006429293172;0.004262541745;;;;;;;;
4;0.6797031999;0.0009011211086;0.003121897905;;;;;;;;
4;0.6764569485;0.0005318770149;0.001285289096;;;;;;;;
4;0.6752202813;3.02E-05;0.0006660794892;;;;;;;;
5;0.6877415366;0.02302959149;0.03165620757;;;;;;;;
5;0.6852682022;0.005988933263;0.007169070425;;;;;;;;
5;0.6838769516;0.001664918443;0.008446181511;;;;;;;;
5;0.6795486165;0.00052745032;0.005985540754;;;;;;;;
5;0.6781573659;0.0003434537843;0.001576222426;;;;;;;;
5;0.6775390323;0.0001351104268;0.01565929025;;;;;;;;
5;0.6753748647;5.11E-05;0.0002220264964;;;;;;;;
6;0.6868140362;0.01793783381;0.02634959081;;;;;;;;
6;0.6865048694;0.01897849204;0.02312378436;;;;;;;;
6;0.6854227856;0.004458162922;0.003312048149;;;;;;;;
6;0.684031535;0.0005905788385;0.005442401556;;;;;;;;
6;0.6807852837;9.11E-05;0.01779698338;;;;;;;;
6;0.6807852837;0.0003269980272;0.01735293038;;;;;;;;
6;0.6803215335;0.0001120146273;0.01690887739;;;;;;;;
6;0.6766115319;0.0002461627292;0.0005137803222;;;;;;;;
6;0.6755294481;0.0002346148294;0.0006312158244;;;;;;;;
7;0.686350286;0.01859991339;0.02071635656;;;;;;;;
7;0.6858865358;0.01297627869;0.01341150134;;;;;;;;
7;0.685577369;0.004743877207;0.004165290469;;;;;;;;
7;0.6854227856;0.004407063465;0.004165290469;;;;;;;;
7;0.6841861184;0.0003048645528;0.005442401556;;;;;;;;
7;0.6803215335;9.82E-06;0.01520239275;;;;;;;;
7;0.6764569485;4.45E-05;0.003796469595;;;;;;;;
8;0.687123203;0.01861146129;0.03020661309;;;;;;;;
8;0.6869686196;0.01765211952;0.02634959081;;;;;;;;
8;0.6861957026;0.0154663908;0.0161932548;;;;;;;;
8;0.6846498686;0.002560361834;0.002604285168;;;;;;;;
8;0.6810944505;0.0002955300005;0.01649968806;;;;;;;;
9;0.6868140362;0.02117134196;0.02197878821;;;;;;;;
9;0.6866594528;0.0166301304;0.01749055011;;;;;;;;
9;0.6860411192;0.015854304;0.01448677016;;;;;;;;
