Subset size, Accuracy, F1-Score, VIF, Solution
1, -0.9029702970297031, -0.811214953271028, 0, molecule_name
2, -0.9415841584158416, -0.891101491101491, 1.4687957496787187, molecule_name; f164
2, -0.9277227722772278, -0.8713375796178344, 1.0000843836407118, molecule_name; f57
3, -0.944059405940594, -0.8938560866395917, 1.920994724684012, molecule_name; f92; f164
3, -0.943069306930693, -0.8927714646464645, 1.3353026895190923, molecule_name; f29; f164
3, -0.9401087167540283, -0.8892272922944467, 1.0160705670682986, molecule_name; f57; f63
4, -0.9518727963877982, -0.9185579560445223, 3.828576760755027, molecule_name; f67; f91; f92
4, -0.9445544554455445, -0.8958168709533172, 2.475305976989132, molecule_name; f92; f96; f164
4, -0.944059405940594, -0.8938560866395917, 1.7293459408395466, molecule_name; f29; f92; f164
4, -0.9426519122500485, -0.9030646881804572, 3.610506541305137, molecule_name; f67; f72; f92
5, -0.9622462388553845, -0.9476382439600994, 3.7351919045850375, molecule_name; f67; f91; f92; f154
5, -0.9554511807917037, -0.9259466089163247, 3.3028029037010898, molecule_name; f67; f68; f91; f92
5, -0.9435643564356434, -0.89473224896019, 1.6977946974953635, molecule_name; f92; f116; f164; f166
5, -0.9420840613473113, -0.8917280248386946, 1.2622126429186242, molecule_name; f29; f40; f69; f164
5, -0.9354399813795421, -0.8968051658930355, 2.825077694590066, molecule_name; f29; f67; f69; f164
6, -0.9663075652916335, -0.939443733374824, 4.066038064721135, molecule_name; f66; f67; f68; f69; f145
6, -0.9659236749101856, -0.9553769857577553, 4.1966917319589365, molecule_name; f67; f69; f92; f154; f157
6, -0.9614353513150178, -0.9467463666437894, 3.651592353491244, molecule_name; f67; f91; f92; f154; f159
6, -0.9582398657323038, -0.9219827853498368, 2.8068732140262895, molecule_name; f29; f31; f61; f66; f67
6, -0.9565278586682199, -0.9426075374987413, 3.5296272098855845, molecule_name; f36; f67; f72; f92; f116
6, -0.9500237974461584, -0.9315679753327062, 2.840667512936781, molecule_name; f66; f67; f68; f69; f91
6, -0.9492924956632287, -0.9026661288754252, 2.631051765604285, molecule_name; f29; f67; f70; f91; f164
6, -0.9394237051788672, -0.9027957269860872, 2.521406775842115, molecule_name; f29; f66; f67; f68; f69
7, -0.9705173648294622, -0.9451760629239789, 3.6654964321404893, molecule_name; f29; f66; f67; f68; f69; f145
7, -0.9664288487672298, -0.9606432517844556, 3.418772045453619, molecule_name; f36; f67; f70; f72; f92; f129
7, -0.960685731761032, -0.9162213908749722, 2.4645684168342186, molecule_name; f29; f67; f70; f91; f164; f166
7, -0.9592823086862767, -0.9473669561247486, 2.6914982123702003, molecule_name; f66; f67; f68; f69; f91; f124
7, -0.9555969401494229, -0.9207149391053331, 2.616337655911015, molecule_name; f66; f67; f68; f116; f164; f166
7, -0.9551153549890093, -0.9354413673014488, 2.6190248697297513, molecule_name; f29; f66; f67; f68; f69; f91
7, -0.9402538498631646, -0.8974653571279502, 2.3247215479442085, molecule_name; f67; f70; f116; f125; f164; f166
7, -0.9362987769365171, -0.9043851056431871, 1.7881209049488782, molecule_name; f29; f66; f68; f69; f91; f164
8, -0.9725150456222093, -0.9442503058978271, 3.676416496096544, molecule_name; f29; f65; f66; f67; f68; f69; f145
8, -0.9715674271411961, -0.9629749384391367, 3.8510711754579345, molecule_name; f36; f67; f69; f70; f91; f92; f164
8, -0.9690511081468678, -0.9600975511875216, 3.0008193056942423, molecule_name; f66; f67; f68; f69; f72; f125; f164
